"filename", "language", "TypeScript", "PostCSS", "comment", "blank", "total"
"d:\Projects\sentryos\sentryos\src\api\consoleApi.ts", "TypeScript", 31, 0, 0, 2, 33
"d:\Projects\sentryos\sentryos\src\api\envApi.ts", "TypeScript", 76, 0, 1, 2, 79
"d:\Projects\sentryos\sentryos\src\api\index.ts", "TypeScript", 21, 0, 0, 3, 24
"d:\Projects\sentryos\sentryos\src\api\monitorApi.ts", "TypeScript", 52, 0, 0, 2, 54
"d:\Projects\sentryos\sentryos\src\api\notificationApi.ts", "TypeScript", 27, 0, 0, 2, 29
"d:\Projects\sentryos\sentryos\src\api\shellApi.ts", "TypeScript", 131, 0, 1, 2, 134
"d:\Projects\sentryos\sentryos\src\api\storageApi.ts", "TypeScript", 13, 0, 0, 2, 15
"d:\Projects\sentryos\sentryos\src\api\systemApi.ts", "TypeScript", 17, 0, 2, 2, 21
"d:\Projects\sentryos\sentryos\src\api\types.ts", "TypeScript", 34, 0, 0, 3, 37
"d:\Projects\sentryos\sentryos\src\api\uiApi.ts", "TypeScript", 44, 0, 0, 2, 46
"d:\Projects\sentryos\sentryos\src\bootstrap\bios.ts", "TypeScript", 235, 0, 0, 48, 283
"d:\Projects\sentryos\sentryos\src\bootstrap\systemBootstrap.ts", "TypeScript", 231, 0, 17, 37, 285
"d:\Projects\sentryos\sentryos\src\core\App.ts", "TypeScript", 3, 0, 2, 0, 5
"d:\Projects\sentryos\sentryos\src\core\ApplicationCatalog.ts", "TypeScript", 168, 0, 7, 25, 200
"d:\Projects\sentryos\sentryos\src\core\ApplicationLauncher.ts", "TypeScript", 166, 0, 11, 29, 206
"d:\Projects\sentryos\sentryos\src\core\ApplicationManager.ts", "TypeScript", 27, 0, 10, 8, 45
"d:\Projects\sentryos\sentryos\src\core\EnvironmentManager.ts", "TypeScript", 61, 0, 11, 24, 96
"d:\Projects\sentryos\sentryos\src\core\EventBus.ts", "TypeScript", 84, 0, 2, 14, 100
"d:\Projects\sentryos\sentryos\src\core\NotificationManager.ts", "TypeScript", 128, 0, 11, 32, 171
"d:\Projects\sentryos\sentryos\src\core\PermissionsManager.ts", "TypeScript", 101, 0, 2, 7, 110
"d:\Projects\sentryos\sentryos\src\core\Process.ts", "TypeScript", 40, 0, 7, 8, 55
"d:\Projects\sentryos\sentryos\src\core\ProcessManager.ts", "TypeScript", 129, 0, 28, 30, 187
"d:\Projects\sentryos\sentryos\src\core\ScriptRuntime.ts", "TypeScript", 15, 0, 2, 0, 17
"d:\Projects\sentryos\sentryos\src\core\SystemMonitor.ts", "TypeScript", 327, 0, 21, 47, 395
"d:\Projects\sentryos\sentryos\src\core\WindowSystem.ts", "TypeScript", 24, 0, 2, 1, 27
"d:\Projects\sentryos\sentryos\src\core\constants.ts", "TypeScript", 70, 0, 25, 24, 119
"d:\Projects\sentryos\sentryos\src\core\runtime\ScriptRuntime.ts", "TypeScript", 439, 0, 7, 61, 507
"d:\Projects\sentryos\sentryos\src\core\runtime\index.ts", "TypeScript", 15, 0, 1, 1, 17
"d:\Projects\sentryos\sentryos\src\core\runtime\quickjsInit.ts", "TypeScript", 10, 0, 0, 4, 14
"d:\Projects\sentryos\sentryos\src\core\runtime\types.ts", "TypeScript", 57, 0, 1, 9, 67
"d:\Projects\sentryos\sentryos\src\core\storage.ts", "TypeScript", 312, 0, 0, 65, 377
"d:\Projects\sentryos\sentryos\src\core\types.ts", "TypeScript", 35, 0, 0, 11, 46
"d:\Projects\sentryos\sentryos\src\core\window\WindowApi.ts", "TypeScript", 85, 0, 0, 19, 104
"d:\Projects\sentryos\sentryos\src\core\window\WindowManager.ts", "TypeScript", 613, 0, 4, 106, 723
"d:\Projects\sentryos\sentryos\src\core\window\index.ts", "TypeScript", 25, 0, 1, 1, 27
"d:\Projects\sentryos\sentryos\src\core\window\types.ts", "TypeScript", 143, 0, 1, 23, 167
"d:\Projects\sentryos\sentryos\src\main.ts", "TypeScript", 13, 0, 0, 3, 16
"d:\Projects\sentryos\sentryos\src\style.css", "PostCSS", 0, 646, 4, 101, 751
"d:\Projects\sentryos\sentryos\src\ui\DesktopShell.ts", "TypeScript", 252, 0, 0, 54, 306
"Total", "-", 4254, 646, 181, 814, 5895
