"filename", "language", "PostCSS", "TypeScript", "comment", "blank", "total"
"d:\Projects\sentryos\sentryos\src\api\consoleApi.ts", "TypeScript", 0, 31, 0, 2, 33
"d:\Projects\sentryos\sentryos\src\api\envApi.ts", "TypeScript", 0, 76, 1, 2, 79
"d:\Projects\sentryos\sentryos\src\api\index.ts", "TypeScript", 0, 21, 0, 3, 24
"d:\Projects\sentryos\sentryos\src\api\monitorApi.ts", "TypeScript", 0, 52, 0, 2, 54
"d:\Projects\sentryos\sentryos\src\api\notificationApi.ts", "TypeScript", 0, 27, 0, 2, 29
"d:\Projects\sentryos\sentryos\src\api\shellApi.ts", "TypeScript", 0, 131, 1, 2, 134
"d:\Projects\sentryos\sentryos\src\api\storageApi.ts", "TypeScript", 0, 13, 0, 2, 15
"d:\Projects\sentryos\sentryos\src\api\systemApi.ts", "TypeScript", 0, 17, 2, 2, 21
"d:\Projects\sentryos\sentryos\src\api\types.ts", "TypeScript", 0, 34, 0, 3, 37
"d:\Projects\sentryos\sentryos\src\api\uiApi.ts", "TypeScript", 0, 44, 0, 2, 46
"d:\Projects\sentryos\sentryos\src\bootstrap\bios.ts", "TypeScript", 0, 235, 0, 48, 283
"d:\Projects\sentryos\sentryos\src\bootstrap\systemBootstrap.ts", "TypeScript", 0, 231, 17, 37, 285
"d:\Projects\sentryos\sentryos\src\core\App.ts", "TypeScript", 0, 3, 2, 0, 5
"d:\Projects\sentryos\sentryos\src\core\ApplicationCatalog.ts", "TypeScript", 0, 168, 7, 25, 200
"d:\Projects\sentryos\sentryos\src\core\ApplicationLauncher.ts", "TypeScript", 0, 166, 11, 29, 206
"d:\Projects\sentryos\sentryos\src\core\ApplicationManager.ts", "TypeScript", 0, 27, 10, 8, 45
"d:\Projects\sentryos\sentryos\src\core\EnvironmentManager.ts", "TypeScript", 0, 61, 11, 24, 96
"d:\Projects\sentryos\sentryos\src\core\EventBus.ts", "TypeScript", 0, 84, 2, 14, 100
"d:\Projects\sentryos\sentryos\src\core\NotificationManager.ts", "TypeScript", 0, 128, 11, 32, 171
"d:\Projects\sentryos\sentryos\src\core\PermissionsManager.ts", "TypeScript", 0, 101, 2, 7, 110
"d:\Projects\sentryos\sentryos\src\core\Process.ts", "TypeScript", 0, 40, 7, 8, 55
"d:\Projects\sentryos\sentryos\src\core\ProcessManager.ts", "TypeScript", 0, 129, 28, 30, 187
"d:\Projects\sentryos\sentryos\src\core\ScriptRuntime.ts", "TypeScript", 0, 15, 2, 0, 17
"d:\Projects\sentryos\sentryos\src\core\SystemMonitor.ts", "TypeScript", 0, 327, 21, 47, 395
"d:\Projects\sentryos\sentryos\src\core\WindowSystem.ts", "TypeScript", 0, 24, 2, 1, 27
"d:\Projects\sentryos\sentryos\src\core\constants.ts", "TypeScript", 0, 70, 25, 24, 119
"d:\Projects\sentryos\sentryos\src\core\runtime\ScriptRuntime.ts", "TypeScript", 0, 439, 7, 61, 507
"d:\Projects\sentryos\sentryos\src\core\runtime\index.ts", "TypeScript", 0, 15, 1, 1, 17
"d:\Projects\sentryos\sentryos\src\core\runtime\quickjsInit.ts", "TypeScript", 0, 10, 0, 4, 14
"d:\Projects\sentryos\sentryos\src\core\runtime\types.ts", "TypeScript", 0, 57, 1, 9, 67
"d:\Projects\sentryos\sentryos\src\core\storage.ts", "TypeScript", 0, 312, 0, 65, 377
"d:\Projects\sentryos\sentryos\src\core\types.ts", "TypeScript", 0, 35, 0, 11, 46
"d:\Projects\sentryos\sentryos\src\core\window\WindowApi.ts", "TypeScript", 0, 85, 0, 19, 104
"d:\Projects\sentryos\sentryos\src\core\window\WindowManager.ts", "TypeScript", 0, 613, 4, 106, 723
"d:\Projects\sentryos\sentryos\src\core\window\index.ts", "TypeScript", 0, 25, 1, 1, 27
"d:\Projects\sentryos\sentryos\src\core\window\types.ts", "TypeScript", 0, 143, 1, 23, 167
"d:\Projects\sentryos\sentryos\src\main.ts", "TypeScript", 0, 13, 0, 3, 16
"d:\Projects\sentryos\sentryos\src\style.css", "PostCSS", 646, 0, 4, 101, 751
"d:\Projects\sentryos\sentryos\src\ui\DesktopShell.ts", "TypeScript", 0, 252, 0, 54, 306
"Total", "-", 646, 4254, 181, 814, 5895
